2015–16 Stephen F. Austin Ladyjacks basketball team,2016-05-18
2015–16 McNeese State Cowgirls basketball team,2016-05-19
2014 WDF Europe Cup,2016-05-19
2015–16 Sam Houston State Bearkats women's basketball team,2016-05-20
2016 Aegon International,2016-05-20
2010 WDF Europe Cup,2016-05-21
2008 WDF Europe Cup,2016-05-21
2013 IAAF Hammer Throw Challenge,2016-05-22
2012 IAAF Hammer Throw Challenge,2016-05-22
2011 IAAF Hammer Throw Challenge,2016-05-22
2006 WDF Europe Cup,2016-05-22
2015 IAAF Hammer Throw Challenge,2016-05-22
2015–16 Texas A&M–Corpus Christi Islanders women's basketball team,2016-05-22
2015–16 Incarnate Word Cardinals women's basketball team,2016-05-22
2014 IAAF Hammer Throw Challenge,2016-05-22
2015–16 Southeastern Louisiana Lady Lions basketball team,2016-05-23
2001 United Kingdom Championships in Athletics,2016-05-24
1973 Virginia Slims of Denver,2016-05-27
2014–15 Ohio Bobcats women's basketball team,2016-05-29
2015–16 Troy Trojans women's basketball team,2016-05-31
2015–16 Arkansas–Little Rock Trojans women's basketball team,2016-05-31
